INFO 2020-07-19 23:24:53,364 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-19 23:25:11,365 autoreload 598 Watching for file changes with StatReloader
WARNING 2020-07-19 23:25:13,056 log 228 Not Found: /
WARNING 2020-07-19 23:25:13,056 basehttp 157 "GET / HTTP/1.1" 404 2152
WARNING 2020-07-19 23:25:13,848 log 228 Not Found: /favicon.ico
WARNING 2020-07-19 23:25:13,848 basehttp 157 "GET /favicon.ico HTTP/1.1" 404 2203
WARNING 2020-07-19 23:25:18,118 log 228 Not Found: /home
WARNING 2020-07-19 23:25:18,118 basehttp 157 "GET /home HTTP/1.1" 404 2182
INFO 2020-07-19 23:25:52,279 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/apps/home/urls.py changed, reloading.
INFO 2020-07-19 23:25:52,783 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-19 23:29:52,812 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/settings/dev.py changed, reloading.
INFO 2020-07-20 18:37:55,148 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:38:49,943 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:39:43,428 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:45:25,616 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:46:20,467 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:47:25,915 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:53:37,432 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 18:54:07,573 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 2
INFO 2020-07-20 18:56:08,948 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 2
INFO 2020-07-20 18:57:04,989 autoreload 598 Watching for file changes with StatReloader
WARNING 2020-07-20 18:58:59,586 log 228 Not Found: /
WARNING 2020-07-20 18:58:59,586 basehttp 157 "GET / HTTP/1.1" 404 2257
INFO 2020-07-20 18:59:03,094 basehttp 157 "GET /admin HTTP/1.1" 301 0
INFO 2020-07-20 18:59:03,112 basehttp 157 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-07-20 18:59:03,192 basehttp 157 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1915
INFO 2020-07-20 18:59:03,209 basehttp 157 "GET /static/admin/css/login.css HTTP/1.1" 200 1233
INFO 2020-07-20 18:59:03,210 basehttp 157 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18052
INFO 2020-07-20 18:59:03,210 basehttp 157 "GET /static/admin/css/base.css HTTP/1.1" 200 16378
